Code;Code2
NA;NA
TP2+TP4;TP2+TP4
NA;NA
NA;NA
TP2;TP2
NA;NA
OP2;OP2
NA;NA
TP9;TP9
TP9+TS9;TP9+TS9
NA;NA
NA;NA
TP10;TP10
TP5;TP5
NA;NA
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
TS8;TS8
TS8;TS8
TS8;TS8
TS8;TS8
NA;NA
TS8;TS8
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
NA;NA
NA;NA
TS8;TS8
TS8;TS8
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
OS7;OS7
NA;NA
NA;NA
NA;NA
OS9;OS9
NA;NA
NA;NA
NA;NA
TS5;TS5
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;CO-PT1
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
CO;CO
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TP9;TP9
NA;NA
NA;NA
NA;CO-PT1+CO-PT2
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TP9;TP9
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
CO;CO
TS8;TS8
TA;TA-TS8
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TP9;TP9
NA;NA
NA;NA
TS9;TS9
NA;NA
NA;NA
NA;NA
TP9+TS9;TP9+TS9
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TP8;TP8
TP9;TP9
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;OS5
NA;CO-PT2
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;OS5
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TP/OP;TP/OP
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
TS8;TS8
TS8;TS8
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
CO;CO
TS8;TS8
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TP1;TP1
TS8;TS8
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;OS5
NA;TS9
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
OP2;OP2
NA;NA
CO;CO+CO-PT2
NA;NA
NA;NA
OP6;OP6
TP6;TP6
OP8;OP8
NA;NA
NA;NA
NA;NA
TA/TS;TS8
NA;NA
NA;TS8
NA;NA
NA;NA
NA;NA
NA;TS8
NA;TS2
NA;NA
TP9;TP9
NA;NA
NA;TS8
NA;NA
NA;NA
TP9 + TS9;TP9 + TS9
NA;NA
NA;NA
NA;NA
TS6;TS6
NA;NA
TP/OP/EP;TP/OP/EP
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
OP7;OP7
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
CO + CO-PT2;CO + CO-PT2
NA;NA
CO;CO
NA;NA
NA;NA
OP8;OP8
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TP9;TP9
TP2;TP2
TP9;TP9
OP2;OP2
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
TS9;TS9
NA;NA
NA;NA
NA;NA
TP2;TP2
NA;NA
NA;NA
NA;NA
NA;NA
TS8;TS8
NA;NA
NA;NA
NA;NA
NA;NA
TP1;TP1
